평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
1.6,3.8,5.5,9.1,17,93.2,39,21,0.008,0.043,0.8,0.004
1.8,8.8,11.4,12.1,20.5,95.8,19,11,0.003,0.037,0.9,0.004
1.8,8.8,11.4,12.1,20.5,95.8,15,11,0.006,0.029,0.6,0.004
1.8,8.8,11.4,12.1,20.5,95.8,11,7,0.011,0.036,0.5,0.004
1.8,8.8,11.4,12.1,20.5,95.8,18,11,0.003,0.03,0.7,0.005
1.8,8.8,11.4,12.1,20.5,95.8,14,9,0.003,0.042,1,0.006
1.8,8.8,11.4,12.1,20.5,95.8,15,6,0.004,0.032,0.4,0.005
1.8,8.8,11.4,12.1,20.5,95.8,14,10,0.004,0.033,0.6,0.004
4.2,8.5,11.9,-0.4,0.5,76.8,26,18,0.023,0.014,0.4,0.004
4.2,8.5,11.9,-0.4,0.5,76.8,32,16,0.025,0.017,0.5,0.004
4.2,8.5,11.9,-0.4,0.5,76.8,34,18,0.023,0.014,0.3,0.003
4.2,8.5,11.9,-0.4,0.5,76.8,31,23,0.016,0.014,0.4,0.003
4.2,8.5,11.9,-0.4,0.5,76.8,36,17,0.018,0.011,0.4,0.004
4.2,8.5,11.9,-0.4,0.5,76.8,31,20,0.021,0.013,0.2,0.004
4.2,8.5,11.9,-0.4,0.5,76.8,28,14,0.023,0.015,0.7,0.005
2.8,9.1,12.3,-4.7,0,50.3,38,11,0.026,0.019,0.2,0.003
2.8,9.1,12.3,-4.7,0,50.3,37,11,0.029,0.019,0.5,0.004
2.8,9.1,12.3,-4.7,0,50.3,23,12,0.025,0.017,0.4,0.004
2.8,9.1,12.3,-4.7,0,50.3,39,13,0.017,0.019,0.4,0.005
2.8,9.1,12.3,-4.7,0,50.3,33,10,0.025,0.016,0.2,0.004
2.8,9.1,12.3,-4.7,0,50.3,34,9,0.027,0.018,1,0.005
2.8,9.1,12.3,-4.7,0,50.3,34,15,0.019,0.016,0.4,0.004
2.1,7.9,10.8,-1.2,1,68,28,14,0.02,0.037,0.6,0.004
